Actor/Actress	Movie	Year
BACON, KEVIN (I)	SLEEPERS	1996
JACKSON, SAMUEL L.	STAR WARS: EPISODE III - REVENGE OF THE SITH	2005
JACKSON, SAMUEL L.	DIE HARD: WITH A VENGEANCE	1995
JACKSON, SAMUEL L.	SNAKES ON A PLANE	2006
JACKSON, SAMUEL L.	INGLOURIOUS BASTERDS	2009
JACKSON, SAMUEL L.	UNBREAKABLE	2000
PITT, BRAD	SLEEPERS	1996
PITT, BRAD	TWELVE MONKEYS	1995
WILLIS, BRUCE	TWELVE MONKEYS	1995
WILLIS, BRUCE	DIE HARD: WITH A VENGEANCE	1995
WILLIS, BRUCE	UNBREAKABLE	2000
